Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2012,354,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Rudra Prayag, Bageshwar districts (Uttarakhand province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,37710.0,Km2,31.3,76.85,,,2012,9.0,16.0,2012,9.0,18.0,45.0,,200.0,,200.0,,20000.0,88.71096898,2,,70281;70286,"Bageshwar, Rudra Prayag (Adm2). "
2012,382,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia," Barpeta, Bongaigaon, Darrang, Dhemaji, Dhuburi, Dibrugarh, Goalpara, Golaghat, Jorhat, Kamrup, Lakhimpur, Marigaon, Nagaon, Nalbari, Papum Pare, Sibsagar, Sonitpur, Tinsukia districts (Assam province), Bhagalpur, Darbhanga, Katihar, Khagaria, Muzaffarpur, Patna, Siwan, Supaul districts (Bihar province), Sahibganj district (Jharkhand province), North Sikkim district (Sikkim province), Ballia, Bara Banki, Faizabad districts (Uttar Pradesh province), Murshidabad district (West Bengal province), West Siang, East Siang, Lohit, Papum Pare districts (Arunachal Pradesh province)",Monsoonal rains,"Slide (land, mud, snow, rock)",,,,,,42597.0,Km2,26.8,93.63,,,2012,9.0,19.0,2012,9.0,23.0,21.0,,2000000.0,,2000000.0,,98000.0,88.71096898,2,,17571;17572;17575;17576;17578;17579;17580;17581;17582;17583;17589;17590;17592;17593;17596;17598;17608;17609;17613;17619;17631;17862;17894;17896;17907;17955;70085;70086;70087;70089;70091;70092;70093;70104;70154,"Ballia, Bara Banki, Barpeta, Bhagalpur, Bongaigaon, Darbhanga, Darrang, Dhemaji, Dhuburi, Dibrugarh, East Siang, Faizabad, Goalpara, Golaghat, Jorhat, Kamrup, Katihar, Khagaria, Lakhimpur, Lohit, Marigaon, Murshidabad, Muzaffarpur, Nagaon, Nalbari, North Sikkim, Papum Pare, Patna, Sahibganj, Sibsagar, Siwan, Sonitpur, Supaul, Tinsukia, West Siang (Adm2). "
2013,192,FL-2013-000070,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Uttarakhand, Himachal Pradesh, Uttar Pradesh, Bihar, Karnataka, Kerala, Gujarat, West Bengal provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",,Yes,,,,131743.0,Km2,32.714,76.61,,"Ganges, Yamuna, Ghaghara tivers",2013,6.0,12.0,2013,6.0,27.0,6054.0,4473.0,500000.0,,504473.0,500000.0,1100000.0,90.01044002,1,1491;1493;1494;1495;1511;70073;70081;70082,,"Bihar, Gujarat, Himachal Pradesh, Karnataka, Kerala, Uttar Pradesh, Uttarakhand, West Bengal (Adm1). "
2013,140,EQ-2013-000056,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Administrive unit not available district (Jammu and Kashmir province),,,,,,,,6.0,Richter,33.061,75.863,12:27,,2013,5.0,1.0,2013,5.0,1.0,3.0,70.0,59280.0,,59350.0,,120000.0,90.01044002,2,,72809,Administrative unit not available (Adm2). 
2012,425,,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone Nilam,India,IND,Southern Asia,Asia,"Andhra Pradesh, Tamil Nadu provinces",,Flood,Surge,,,,,,Kph,11.82,78.08,,,2012,11.0,4.0,2012,11.0,8.0,40.0,,70000.0,,70000.0,,,88.71096898,1,1485;1508,,"Andhra Pradesh, Tamil Nadu (Adm1). "
2013,282,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Dhemaji, Tinsukia, Nagaon, Golaghat, Jorhat, Kamrup, Karimganj, Lakhimpur, Morigaon, Sibsaga, Bongaigaon, Kokrajhar districts (Assam province)",Monsoonal rain,,,,,,,38019.0,Km2,27.387,94.92,,,2013,6.0,23.0,2013,7.0,15.0,80.0,,2000000.0,,2000000.0,,,90.01044002,2,,17582;17583;17585;17589;17592;70086;70087;70089;70090;70091;70092;70093,"Bongaigaon, Dhemaji, Golaghat, Jorhat, Kamrup, Karimganj, Kokrajhar, Lakhimpur, Marigaon, Nagaon, Sibsagar, Tinsukia (Adm2). "
2015,107,FL-2015-000029,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,"Chadoora village (72811 district, Jammu and Kashmir province)",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,70288.0,Km2,33.1767,76.41,,Jhelum river,2015,3.0,20.0,2015,3.0,31.0,44.0,25.0,,2097.0,2122.0,,76000.0,91.57911703,2,,72811,Administrative unit not available (Adm2). 
2015,317,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Kachchh, Patan, Banas Kantha districts (Gujarat province), Malda, Jalpaiguri districts (West Bengal province), Jorhat, Dhemaji, Lakhimpur, Dhuburi, Darrang, Goalpara, Karbi Anglong, Marigaon districts (Assam province), Manipur, Orissa, Rajasthan, Madhya Pradesh provinces","Monsoon rains, exacerbated by tail end of Cyclone Komen","Slide (land, mud, snow, rock)",,,,,,629962.0,Km2,26.2074,82.62,,,2015,7.0,15.0,2015,8.0,19.0,293.0,,13709887.0,,13709887.0,,,91.57911703,1;2,1500;1504;1506;70079,17578;17579;17581;17584;17637;17643;17951;17953;70087;70089;70091;70092;70129,"Madhya Pradesh, Manipur, Orissa, Rajasthan (Adm1). Banas Kantha, Darrang, Dhemaji, Dhuburi, Goalpara, Jalpaiguri, Jorhat, Kachchh, Karbi Anglong, Lakhimpur, Maldah, Marigaon, Patan (Adm2). "
2015,144,EQ-2015-000048,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Bihar, Uttar Pradesh, West Bengal, Sikkim provinces",,,,,,,,8.0,Richter,28.2305,84.7314,,,2015,4.0,25.0,2015,4.0,25.0,78.0,560.0,,,560.0,,,91.57911703,1,1507;1511;70073;70081,,"Bihar, Sikkim, Uttar Pradesh, West Bengal (Adm1). "
2015,175,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Bihar province,,,,,,,,7.0,Richter,27.8087,86.0655,12:35,,2015,5.0,12.0,2015,5.0,12.0,20.0,,,,,,,91.57911703,1,70073,,Bihar (Adm1). 
2015,476,EQ-2015-000147,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Administrative unit not available districts (Jammu and Kashmir province), Delhi, Punjab provinces",,,,,,,,8.0,Richter,36.5244,70.3676,13:39,,2015,10.0,26.0,2015,10.0,26.0,,10.0,,,10.0,,,91.57911703,1;2,1489;1505,72789;72802;72810;72851,"Delhi, Punjab (Adm1). Administrative unit not available (Adm2). "
2015,207,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,"Bhadrairuppu village (Virudhunagar district, Tamil Nadu province)",Torrential rain,,,,,,,14179.0,Km2,10.7121,79.18,,,2015,5.0,17.0,2015,5.0,21.0,8.0,,200.0,,200.0,,,91.57911703,2,,17869,Virudhunagar (Adm2). 
2015,249,,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,"Amreli, Rajkot, Surat districts (Gujarat province), Maharashtra province",Monsoon rains,,,,,,,43782.0,Km2,21.8734,70.76,,,2015,6.0,19.0,2015,6.0,20.0,81.0,,9000.0,,9000.0,,604000.0,91.57911703,1;2,1498,17636;17647;17649,"Maharashtra (Adm1). Amreli, Rajkot, Surat (Adm2). "
2015,226,FL-2015-000066,Natural,Hydrological,Landslide,Landslide,,,India,IND,Southern Asia,Asia,"Barpeta, Sonitpur, Goalpara, Dhemaji, Lakhimpur, Tinsukia, Darrang, Nalbari, Jorhat, Kamrup, Dibrugarh, Nagaon, Bongaigaon districts (Assam province) ",Seosnal monsoon,,,,,,,,,26.9195,93.87,,Bhrahmaputra river,2015,6.0,2.0,2015,6.0,29.0,3.0,,9000.0,,9000.0,,,91.57911703,2,,17576;17578;17580;17581;17583;17589;17590;17593;70086;70087;70089;70091;70093,"Barpeta, Bongaigaon, Darrang, Dhemaji, Dibrugarh, Goalpara, Jorhat, Kamrup, Lakhimpur, Nagaon, Nalbari, Sonitpur, Tinsukia (Adm2). "
2015,374,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,Assam province,Monsoonal rain,,,,,,,69190.0,Km2,26.8946,93.75,,Brahmaputra river,2015,8.0,13.0,2015,8.0,19.0,5.0,,18000.0,,18000.0,,,91.57911703,1,1487,,Assam (Adm1). 
2015,504,TC-2015-000163,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",Tropical depression 'Rovan',,,,,Yes,,93202.0,Km2,118.278,788.55,,,2015,11.0,8.0,2015,12.0,4.0,325.0,1000.0,1800000.0,,1801000.0,755000.0,2200000.0,91.57911703,1;2,70080,17549;17550;17561;17563;70242;70243;70244;70247;70251;70255,"Puducherry (Adm1). Chennai, Chittoor, Cuddalore, Cuddapah, Kancheepuram, Nagapattinam, Nellore, Prakasam, Thiruvallur, Villupuram (Adm2). "
2016,139,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Arunachal Pradesh, Assam, Nagaland provinces",Pre-monsoon rains,"Slide (land, mud, snow, rock)",,,,,,70518.0,Km2,27.464,95.607,,Brahmaptura river,2016,4.0,22.0,2016,4.0,25.0,18.0,,100000.0,,100000.0,,150000.0,92.73447917,1,1487;1503;70072,,"Arunachal Pradesh, Assam, Nagaland (Adm1). "
2016,2,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Guwahati city (Kamrup district, Assam province), East Imphal, West Imphal, Senapati, Thoubal, Bishnupur, Tamenglong districts (Manipur province)",,,,,,,,7.0,Richter,24.804,93.65,,,2016,1.0,3.0,2016,1.0,3.0,8.0,308.0,10500.0,,10808.0,,75000.0,92.73447917,2,,17583;70188;70191;70192;70193;70194;70196,"Bishnupur, East Imphal, Kamrup, Senapati, Tamenglong, Thoubal, West Imphal (Adm2). "
2016,239,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,"Chamoli, Pithoragahr districts (Uttarakhand province), Assam, Arunachal Pradesh provinces",Torrential rains,,,,,,,135742.0,Km2,27.068,93.95,,Alaknanda and Mandakini rivers,2016,6.0,25.0,2016,7.0,1.0,61.0,,,,,,100000.0,92.73447917,1;2,1487;70072,17932;70282,"Arunachal Pradesh, Assam (Adm1). Chamoli, Pithoragarh (Adm2). "
2016,391,,Natural,Hydrological,Flood,,,,India,IND,Southern Asia,Asia,"Andhra Pradesh province, Telangana",Monsoonal rains,,,,,,,137435.0,Km2,17.654,80.34,,,2016,9.0,21.0,2016,9.0,29.0,28.0,,3000.0,,3000.0,44000.0,589000.0,92.73447917,1,1485,,Andhra Pradesh (Adm1). 
2017,495,,Natural,Hydrological,Flood,Flash flood,,,India,IND,Southern Asia,Asia,Chenai (Tamil Nadu),Heavy rains,,,,,,,50536.0,Km2,10.489,79.004,,,2017,10.0,30.0,2017,11.0,8.0,21.0,,4000.0,,4000.0,,,94.70984073,2,,70242,Chennai (Adm2). 
1966,143,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,North,,,,,,,,6.0,Richter,28.7,78.9,07:45,,1966,8.0,15.0,1966,8.0,15.0,15.0,,,,,,,12.5413205,,,,
2021,225,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,"Kamrup and Nagaon (Sonitpur District, northern Assam State)",,,,,,,,6.0,Richter,26.781,92.457,07:51,,2021,4.0,28.0,2021,4.0,28.0,2.0,10.0,3000.0,,3010.0,,,,2,,17593,Sonitpur (Adm2). 
